"intensity","count"
21,1
24,1
29,1
35,1
42,2
43,2
45,1
48,3
49,1
50,3
51,4
52,3
53,6
54,6
55,2
56,8
57,4
58,11
59,11
60,11
61,25
62,17
63,22
64,27
65,34
66,32
67,35
68,43
69,57
70,75
71,92
72,119
73,121
74,169
75,209
76,227
77,293
78,315
79,485
80,535
81,555
82,690
83,1018
84,1475
85,1481
86,2374
87,3544
88,5392
89,6457
90,8420
91,14794
92,20195
93,28651
94,29652
95,52163
96,89789
97,86245
98,108435
99,130830
100,249458
101,196635
102,261786
103,263939
104,497866
105,382686
106,412247
107,450542
108,643083
109,642193
110,566717
111,626616
112,760344
113,790798
114,669075
115,679958
116,783948
117,826021
118,699664
119,673717
120,726760
121,762575
122,672279
123,618584
124,650836
125,670375
126,615054
127,552311
128,565941
129,577044
130,542909
131,498257
132,498064
133,508586
134,479448
135,450071
136,446655
137,453626
138,437747
139,415841
140,411360
141,411133
142,405261
143,386791
144,381257
145,376810
146,372488
147,357859
148,350107
149,347359
150,338066
151,331835
152,321852
153,318951
154,307873
155,303261
156,297432
157,289368
158,284196
159,276008
160,273536
161,265620
162,259389
163,250633
164,247368
165,241719
166,234050
167,231671
168,225617
169,221795
170,214037
171,210383
172,206651
173,199552
174,196495
175,189790
176,191263
177,182461
178,181551
179,172596
180,173667
181,168083
182,166270
183,158730
184,159017
185,155686
186,151191
187,147164
188,145480
189,141851
190,140476
191,133641
192,134183
193,129189
194,128987
195,123759
196,121457
197,119538
198,117814
199,114180
200,111430
201,109117
202,107539
203,103495
204,103672
205,99466
206,97359
207,94990
208,94028
209,92534
210,88213
211,87220
212,85955
213,83492
214,79708
215,79596
216,77240
217,76037
218,73478
219,72526
220,69745
221,69389
222,66043
223,65687
224,63217
225,62335
226,60502
227,58776
228,58251
229,55894
230,54519
231,53738
232,52057
233,51661
234,49199
235,48469
236,46979
237,46090
238,44971
239,44008
240,42467
241,41711
242,39813
243,39793
244,38040
245,38043
246,36509
247,36456
248,34609
249,33777
250,32456
251,32209
252,30938
253,30115
254,29137
255,29005
256,28278
257,27356
258,26034
259,25542
260,25448
261,24102
262,23617
263,23059
264,22924
265,21843
266,21570
267,20717
268,20583
269,19297
270,18869
271,18803
272,18571
273,17490
274,17252
275,16614
276,16602
277,15648
278,15129
279,15083
280,14783
281,14396
282,13885
283,13269
284,13499
285,12883
286,12308
287,12197
288,11938
289,11672
290,11053
291,11003
292,10972
293,10560
294,9897
295,10117
296,9803
297,9681
298,9241
299,8992
300,9050
301,8646
302,8230
303,8242
304,8141
305,7875
306,7504
307,7581
308,7399
309,7193
310,6952
311,6681
312,6692
313,6675
314,6442
315,6377
316,6294
317,6119
318,5945
319,5993
320,5677
321,5596
322,5297
323,5397
324,5122
325,5089
326,4920
327,4836
328,4872
329,4900
330,4764
331,4582
332,4589
333,4422
334,4258
335,4289
336,4101
337,4126
338,3788
339,4044
340,3754
341,3779
342,3809
343,3574
344,3546
345,3462
346,3513
347,3226
348,3277
349,3252
350,3130
351,3054
352,3001
353,3007
354,2923
355,2882
356,2792
357,2702
358,2728
359,2717
360,2564
361,2579
362,2611
363,2407
364,2366
365,2365
366,2329
367,2318
368,2238
369,2167
370,2148
371,2093
372,2048
373,1986
374,1863
375,1889
376,1905
377,1851
378,1726
379,1733
380,1663
381,1728
382,1579
383,1604
384,1480
385,1575
386,1514
387,1474
388,1454
389,1364
390,1394
391,1365
392,1314
393,1245
394,1254
395,1309
396,1127
397,1226
398,1157
399,1093
400,1125
401,1038
402,1058
403,1073
404,1011
405,942
406,1028
407,1002
408,921
409,902
410,923
411,885
412,895
413,829
414,775
415,808
416,866
417,752
418,767
419,792
420,719
421,667
422,760
423,674
424,716
425,651
426,654
427,651
428,635
429,615
430,594
431,593
432,601
433,544
434,562
435,550
436,582
437,558
438,544
439,536
440,544
441,471
442,484
443,475
444,482
445,452
446,466
447,459
448,463
449,445
450,412
451,422
452,397
453,415
454,399
455,400
456,390
457,406
458,359
459,365
460,371
461,348
462,312
463,325
464,324
465,290
466,335
467,302
468,329
469,307
470,314
471,272
472,278
473,304
474,272
475,254
476,270
477,230
478,233
479,225
480,239
481,257
482,249
483,236
484,219
485,202
486,215
487,197
488,232
489,190
490,211
491,200
492,200
493,199
494,187
495,193
496,187
497,145
498,188
499,173
500,188
501,170
502,147
503,173
504,181
505,157
506,174
507,181
508,165
509,150
510,156
511,130
512,155
513,137
514,134
515,130
516,135
517,138
518,128
519,121
520,124
521,135
522,111
523,122
524,132
525,95
526,123
527,109
528,110
529,96
530,107
531,109
532,94
533,98
534,86
535,84
536,106
537,91
538,90
539,79
540,93
541,82
542,92
543,94
544,59
545,78
546,74
547,71
548,67
549,66
550,90
551,61
552,66
553,72
554,66
555,66
556,59
557,78
558,69
559,59
560,58
561,52
562,48
563,56
564,60
565,52
566,51
567,56
568,45
569,53
570,47
571,45
572,36
573,45
574,37
575,36
576,50
577,45
578,31
579,41
580,42
581,26
582,38
583,33
584,31
585,28
586,33
587,31
588,25
589,29
590,26
591,28
592,34
593,16
594,24
595,31
596,20
597,24
598,18
599,21
600,22
601,24
602,15
603,16
604,17
605,18
606,11
607,16
608,14
609,23
610,17
611,13
612,16
613,17
614,21
615,12
616,12
617,12
618,8
619,9
620,9
621,5
622,14
623,14
624,14
625,9
626,7
627,10
628,11
629,8
630,10
631,9
632,6
633,10
634,11
635,3
636,4
637,4
638,5
639,4
640,3
641,8
642,4
643,2
644,6
645,7
646,5
647,7
648,3
649,2
650,6
651,6
652,1
653,2
654,3
655,3
656,5
657,2
658,1
659,4
660,2
661,4
662,3
663,4
664,1
665,2
666,3
667,2
669,2
670,2
671,4
672,2
674,2
675,2
676,1
677,4
678,1
683,2
684,1
688,1
689,1
691,2
692,2
693,3
694,3
697,1
699,1
701,1
703,1
704,1
706,2
708,1
